2025-10-25 16:40:09,407 - INFO - Starting autonomous flight with config: data\phase1_params.json
2025-10-25 16:40:09,407 - INFO - Loaded config: Phase 1 - Basic Gate Course
2025-10-25 16:40:09,408 - INFO - Waypoints: 3
2025-10-25 16:40:10,139 - INFO - Pairing drone...
2025-10-25 16:40:10,704 - INFO - Odometry initialized with flow_scale=1.0
2025-10-25 16:40:10,704 - INFO - Processing waypoint 0: start
2025-10-25 16:40:15,639 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:15,639 - INFO - Odometry zeroed at z=999.9cm, θ=0.0°
2025-10-25 16:40:15,685 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:15,687 - INFO - Takeoff complete. Pose: x=-2800.0, y=-400.0, z=539.5, theta=0.0
2025-10-25 16:40:15,687 - INFO - Processing waypoint 1: gate_1
2025-10-25 16:40:15,687 - INFO - Rising to 100 cm for gate_1
2025-10-25 16:40:18,784 - INFO - Reached target height: 99.9 cm
2025-10-25 16:40:18,784 - INFO - Moving to forward position: 200.0 cm
2025-10-25 16:40:18,830 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:18,954 - WARNING - Rejecting outlier: vx=6453.1, vy=717.0 cm/s
2025-10-25 16:40:18,970 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,032 - WARNING - Rejecting outlier: vx=14143.7, vy=2571.6 cm/s
2025-10-25 16:40:19,047 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,109 - WARNING - Rejecting outlier: vx=5193.6, vy=1298.4 cm/s
2025-10-25 16:40:19,125 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,155 - WARNING - Rejecting outlier: vx=10686.2, vy=0.0 cm/s
2025-10-25 16:40:19,170 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,295 - WARNING - Rejecting outlier: vx=5744.0, vy=2154.0 cm/s
2025-10-25 16:40:19,311 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,374 - WARNING - Rejecting outlier: vx=6315.7, vy=2526.3 cm/s
2025-10-25 16:40:19,390 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,453 - WARNING - Rejecting outlier: vx=3789.7, vy=2526.5 cm/s
2025-10-25 16:40:19,468 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,499 - WARNING - Rejecting outlier: vx=10895.6, vy=6537.4 cm/s
2025-10-25 16:40:19,515 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,639 - WARNING - Rejecting outlier: vx=0.0, vy=7872.0 cm/s
2025-10-25 16:40:19,654 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:19,717 - WARNING - Rejecting outlier: vx=1295.9, vy=6479.3 cm/s
2025-10-25 16:40:19,733 - WARNING - Could not read yaw, using last known value
